Project,Project_Short,Project_Area,DST_Area,Team,Language_Main,Language_Others,Language_Frameworks,Testing_Frameworks,Hosted,Messaging_Type,Containers,Architectures,Source_Control,Branching_Strategy,Repo,Static_Analysis,Code_Formatter,Package_Manager,Security_Tools,CICD,CICD_Orchestration,Monitoring,Datastores,Database_Technologies,Data_Output_Formats,Business_Dashboards,Integrations_ONS,Integrations_External,IAM_Services,Cloud_Services,Datasets_Used,Project_Tools,Other_Tools,Documentation,Languages_Adopt,Languages_Trial,Languages_Assess,Languages_Hold,Frameworks_Adopt,Frameworks_Trial,Frameworks_Assess,Frameworks_Hold,Infrastructure_Adopt,Infrastructure_Trial,Infrastructure_Assess,Infrastructure_Hold,CICD_Adopt,CICD_Trial,CICD_Assess,CICD_Hold
Clerical Matching Solution,CMS,,Processing and Data Management,,Typescript,Scala;Groovy;Shell Script,React;NodeJS;Axios;Stitches;ExpressJS;Morgan;styled-components;Moment;lodash;jsonwebtoken;dotenv;yup,Cypress;Jest,On Prem,API,Docker,Microservice,Github,Feature,https://github.com/ONSdigital/census-clerical-matching,ESLint,Prettier,npm,,Jenkins,,Splunk,Redis;HBase;Solr,Spark,csv,Splunk,,Splunk,Kerberos,,Census;Census Coverage Survey;English Schools Census;Welsh Schools Census;Higher Education Statistics Authority Survey;Patient Demographic Service,Jira;Confluence,HUE;Oozie Workflows,https://confluence.ons.gov.uk/display/CM/Clerical+Matching,Typescript;Scala;Groovy;Shell Script,,,,React;NodeJS;Axios;Stitches;ExpressJS;Morgan;styled-components;Moment;lodash;jsonwebtoken;dotenv;yup;Cypress;Jest,,,,Ansible;Kerberos;Docker;Splunk;Redis;HBase;Solr;HUE;Oozie Workflows,,,,Jenkins,,,
DAP Census Processing Delivery,DCPD,,Processing and Data Management,,Python,,,,,,,,GitLab,Feature,,,,,,,,,,,,,,,,,,,Cloudera Data Science Workbench,,Python,,,,,,,,Cloudera Data Science Workbench,,,,,,,
Common ONS Repository of Data,CORD,,Processing and Data Management,,Java,SAS;Python;R;C++,,,,,,,,,,,,,,Jenkins,,,MongoDB;Oracle,PLSQL,,,Digital Publishing;SPP,,,,,,Oracle Weblogic,,Java;SAS;Python;R;C++,,,,,,,,MongoDB;Oracle;Oracle Weblogic,,,,Jenkins,,,
Common Architecture for Statistical Processing and Analysis,CASPA,,Processing and Data Management,,Java,,Spring,,,,,,GitLab,,,,,,,,,,Oracle,,,,Survey Data Collection,,MS Active Directory,,International Migrations Survey;Labour Force Survey,,Oracle Weblogic,,Java,,,,Spring,,,,MS Active Directory;Oracle;Oracle Weblogic,,,,,,,
Statistical Analysis System,SAS,,Processing and Data Management,,SAS,SAS;Java;HTML;C#,,,AWS,,,,,,,,,,,,,,Oracle,,,,,,,,,,,,SAS;SAS;Java;HTML;C#,,,,,,,,Oracle,,,,,,,
Life Event Continuity,LEC,,Processing and Data Management,,Java,,,,AWS,,,,GitLab,,,,,,,,,,Oracle,,,,,,,,,,Oracle Weblogic,,Java,,,,,,,,Oracle;Oracle Weblogic,,,,,,,
Life Event Data Repository,LEDR,,Processing and Data Management,,Java,,,JMeter,AWS,,,,,,,,,,,Jenkins,,,,,,,,,,,Births and Deaths Register,,Talend,,Java,,,,JMeter,,,,Talend,,,,Jenkins,,,
Address Index Matching Service,AIMS,,Processing and Data Management,,Scala,Java;Python;Javascript,Spring;Python Flask;,,GCP,,Docker,,Github,,�https://github.com/ONSdigital/address-index-api/tree/develop/api-definitions/explore-the-api,,,,,,Kubernetes,,,Spark,,,,,,GCP Cloud Functions;GCP Dataproc,,Confluence,Elasticsearch,https://confluence.ons.gov.uk/display/AIMS/Address+Index+Matching+Service+Home,Scala;Java;Python;Javascript,,,,Spring;Python Flask;,,,,Terraform;GCP Cloud Functions;GCP Dataproc;Docker;Elasticsearch,,,,,,,
Collections,,,Processing and Data Management,,,4GL;ABF;C;Shell Script,,,,,,,Github,,,,,,,,,,Ingres,SQL;Spark,,Splunk,,Splunk,,,,,OpenROAD,,4GL;ABF;C;Shell Script,,,,,,,,Ingres;OpenROAD,,,,,,,
BSP,BSP,,Corporate IT and Services,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Power Automate,,Javascript,,,,,,,,MS Power Automate,,,,,,,
